videoId	frameIndex	origLoc_l	origLoc_t	origLoc_r	origLoc_b	paddedLoc_l	paddedLoc_t	paddedLoc_r	paddedLoc_b	type	origin	width	height	xyRatio	shiftAvgX	shiftAvgY	shiftStdX	shiftStdY	shiftNcc	errAvg	numProbingRoIs	priority	id	packedLocationX	packedLocationY	packedAbsMixedFrameIndex	maxEdgeLength	targetScale
0	1001	834	444	934	628	824	434	944	638	2	3	120	204	0.543478	0	0	0	0	100	100	0	1.2e+09	29	-1	-1	-1	204	1
0	1001	120	248	182	326	110	238	192	336	2	3	82	98	0.794872	0	0	0	0	100	100	0	1.2e+09	30	-1	-1	-1	98	1
0	1001	576	186	670	282	566	176	680	292	2	3	114	116	0.979167	0	0	0	0	100	100	0	1.2e+09	31	-1	-1	-1	116	1
0	1001	876	52	936	124	866	42	946	134	2	3	80	92	0.833333	0	0	0	0	100	100	0	1.2e+09	32	-1	-1	-1	92	1
0	1001	1358	0	1438	112	1348	0	1448	122	2	3	100	122	0.714286	0	0	0	0	100	100	0	1.2e+09	33	-1	-1	-1	122	1
0	1001	766	0	870	42	756	0	880	52	2	3	124	52	2.47619	0	0	0	0	100	100	0	1.2e+09	34	-1	-1	-1	124	1
0	1001	860.563	468.889	901.194	555.954	850.563	458.889	911.194	565.954	1	2	60.6313	107.065	0.466678	0.534271	0.938102	0.24674	0.378255	0.948919	14.9149	0	1.2e+09	0	-1	-1	-1	107.065	1
0	1001	791.598	324.5	824.545	404.775	781.598	314.5	834.545	414.775	1	2	52.9477	100.275	0.410436	0.0888184	-1.11144	0.128942	0.402229	0.990353	8.62196	0	0.1234	1	-1	-1	-1	100.275	1
0	1001	786.639	175.267	807.453	228.539	776.639	165.267	817.453	238.539	1	2	40.8145	73.2716	0.390723	-0.0823364	-0.0279808	0.0738073	0.110471	-0.0402396	5.24094	0	0.1234	2	-1	-1	-1	73.2716	1
0	1001	802.236	211.756	822.548	270.448	792.236	201.756	832.548	280.448	1	2	40.312	78.6914	0.346082	-0.00125732	-0.274734	0.0732077	0.185812	0.620562	7.65642	0	0.1234	3	-1	-1	-1	78.6914	1
0	1001	1049.13	112.803	1063.22	153.401	1039.13	102.803	1073.22	163.401	1	2	34.0935	60.5983	0.347145	0.189087	0.068779	0.0626434	0.0596971	0.921576	3.04486	0	0.1234	4	-1	-1	-1	60.5983	1
0	1001	1753.31	130.972	1775.19	170.754	1743.31	120.972	1785.19	180.754	1	2	41.8738	59.7819	0.549842	0.836639	0.30352	0.0841959	0.12037	0.977952	8.23764	0	0.1234	5	-1	-1	-1	59.7819	1
0	1001	901.307	180.972	918.997	234.478	891.307	170.972	928.997	244.478	1	2	37.6906	73.5065	0.330624	-0.0423584	-0.00356038	0.128082	0.109297	-0.338994	3.16537	0	0.1234	6	-1	-1	-1	73.5065	1
0	1001	260.184	192.731	289.626	256.991	250.184	182.731	299.626	266.991	1	2	49.4422	84.26	0.458173	-0.383959	0.409561	0.112718	0.0624288	0.961358	5.29103	0	0.1234	7	-1	-1	-1	84.26	1
0	1001	1077.26	115.761	1093.96	156.254	1067.26	105.761	1103.96	166.254	1	2	36.7023	60.4926	0.412477	-0.102051	-0.210426	0.0180664	0.101326	0.841752	5.4034	0	0.1234	8	-1	-1	-1	60.4926	1
0	1001	840.01	290.143	861.198	356.213	830.01	280.143	871.198	366.213	1	2	41.1879	86.0701	0.320688	-0.0847066	0.519791	0.099647	0.333319	0.803972	8.72192	0	0.1234	9	-1	-1	-1	86.0701	1
0	1001	796.615	192.905	819.281	267.121	786.615	182.905	829.281	277.121	1	2	42.6654	94.2159	0.305398	0.020098	-0.12381	0.0557796	0.184361	0.347174	5.5824	0	0.1234	10	-1	-1	-1	94.2159	1
0	1001	824.54	281.852	844.523	334.784	814.54	271.852	854.523	344.784	1	2	39.9833	72.932	0.377528	0.0171916	0.287099	0.0284793	0.175802	0.96712	8.09294	0	0.1234	11	-1	-1	-1	72.932	1
0	1001	828.974	281.959	856.117	345.461	818.974	271.959	866.117	355.461	1	2	47.1424	83.5021	0.427425	-0.0218942	0.434413	0.0267058	0.325428	0.993133	7.73073	0	0.1234	12	-1	-1	-1	83.5021	1
0	1001	503.084	49.5052	519.691	89.8981	493.084	39.5052	529.691	99.8981	1	2	36.6071	60.3929	0.411139	0.0111847	-0.252958	0.1371	0.106981	0.451339	6.2775	0	0.1234	13	-1	-1	-1	60.3929	1
0	1001	1512.54	81.1914	1528.25	116.044	1502.54	71.1914	1538.25	126.044	1	2	35.71	54.8522	0.450759	0.505249	0.104649	0.0316162	0.00271225	0.999893	6.50132	0	0.1234	14	-1	-1	-1	54.8522	1
0	1001	810.591	81.6547	830.45	117.854	800.591	71.6547	840.45	127.854	1	2	39.859	56.199	0.548607	-0.00941976	0.0768331	0.00942084	0.0169659	0.964349	4.19435	0	0.1234	15	-1	-1	-1	56.199	1
0	1001	1558.24	90.4029	1575.65	122.557	1548.24	80.4029	1585.65	132.557	1	2	37.4097	52.1541	0.541445	0.292786	0.347996	0.0130005	0.0832176	0.98083	8.83514	0	0.1234	16	-1	-1	-1	52.1541	1
0	1001	927.251	97.3228	939.052	122.416	917.251	87.3228	949.052	132.416	1	2	31.8003	45.0937	0.470249	-0.793884	-0.251453	0.0502319	0.233852	0.878484	6.13326	0	1.2e+09	17	-1	-1	-1	45.0937	1
0	1001	353.059	149.048	372.82	186.694	343.059	139.048	382.82	196.694	1	2	39.7618	57.6461	0.524936	-0.319183	0.276695	0.0341187	0.116341	0.947273	6.06396	0	0.1234	18	-1	-1	-1	57.6461	1
0	1001	1598.45	99.0172	1617.44	135.988	1588.45	89.0172	1627.44	145.988	1	2	38.9958	56.9705	0.513812	0.23175	0.00949478	0.0739136	0.0381355	0.94471	9.27167	0	0.1234	19	-1	-1	-1	56.9705	1
0	1001	825.202	270.553	847.919	298.448	815.202	260.553	857.919	308.448	1	2	42.7164	47.8955	0.814337	0.0204671	0.0791423	0.00411262	0.0427226	0.978508	7.54519	0	0.1234	20	-1	-1	-1	47.8955	1
0	1001	778.956	95.6629	797.781	142.39	768.956	85.6629	807.781	152.39	1	2	38.825	66.7271	0.40287	0.00335693	-0.150572	0.0322888	0.101491	0.673816	4.15753	0	0.1234	21	-1	-1	-1	66.7271	1
0	1001	895.788	75.7413	910.854	109.437	885.788	65.7413	920.854	119.437	1	2	35.0659	53.6952	0.447123	0.36676	-0.0071106	0.307129	0.0410309	0.831772	5.4009	0	1.2e+09	22	-1	-1	-1	53.6952	1
0	1001	1047.31	16.0716	1057.39	44.0904	1037.31	6.07164	1067.39	54.0904	1	2	30.0736	48.0188	0.35953	0.0247803	0.174145	0	0	0	3.91875	0	0.1234	23	-1	-1	-1	48.0188	1
0	1001	345.378	146.665	362.549	181.505	335.378	136.665	372.549	191.505	1	2	37.1705	54.8405	0.492831	-0.218923	0.377406	0.0755542	0.170985	0.86761	6.46037	0	0.1234	24	-1	-1	-1	54.8405	1
0	1001	366.788	153.245	384.79	187.102	356.788	143.245	394.79	197.102	1	2	38.0024	53.8567	0.531723	-0.290878	0.247894	0.146164	0.0605011	0.955719	6.19139	0	0.1234	25	-1	-1	-1	53.8567	1
0	1001	566.464	46.0489	580.02	65.0986	556.464	36.0489	590.02	75.0986	1	2	33.5563	39.0497	0.711626	-0.00366211	-0.0200233	0	0	0	0.764167	0	0.1234	26	-1	-1	-1	39.0497	1
0	1001	565.534	45.6904	582.778	82.2896	555.534	35.6904	592.778	92.2896	1	2	37.2446	56.5992	0.471173	0.00219727	-0.00510406	0.0101994	0.0119485	-0.445994	0.494861	0	0.1234	27	-1	-1	-1	56.5992	1
0	1001	788.133	0.971495	800.586	25.7085	778.133	0	810.586	35.7085	1	2	32.4537	35.7085	0.503446	0.104218	-0.0408316	0.01651	0.00624943	0.977259	2.46639	0	1.2e+09	28	-1	-1	-1	35.7085	1
0	1002	860	550	934	630	850	540	944	640	2	3	94	100	0.925	0	0	0	0	100	100	0	1.2e+09	39	0	0	0	100	1
0	1002	574	190	664	286	564	180	674	296	2	3	110	116	0.9375	0	0	0	0	100	100	0	1.2e+09	40	0	100	0	116	1
0	1002	1532	64	1620	132	1522	54	1630	142	2	3	108	88	1.29412	0	0	0	0	100	100	0	1.2e+09	41	0	667.362	0	108	1
0	1002	746	48	832	136	736	38	842	146	2	3	106	108	0.977273	0	0	0	0	100	100	0	1.2e+09	42	0	552.58	0	108	1
0	1002	874	16	942	120	864	6	952	130	2	3	88	124	0.653846	0	0	0	0	100	100	0	1.2e+09	43	0	424	0	124	1
